finding_id,session,severity,file_line,finding,impact,suggested_fix,safety,decision,fix_session_id,new_def_id,notes
P1-A1-M10,P1-A1,MEDIUM,[main.py:1369-1371](argus/main.py#L1369-L1371) + [core/orchestrator.py:665-705](argus/core/orchestrator.py#L665-L705),"**Dual regime-reclassification poll confirmed (DEF-074).** `main.py._run_regime_reclassification` (300s sleep) and `Orchestrator._poll_loop` (internal cadence) both call `reclassify_regime()`. CLAUDE.md notes this is idempotent/benign but still ""redundant"". Two polls means two log lines per 5-minute tick at steady state.",Log noise; redundant DB writes to `regime_history.db` if `persist_history=True`; small wasted CPU. Not currently harmful.,"Choose one. Since Orchestrator owns the regime classifier, `Orchestrator._poll_loop` is the natural home. Delete `_run_regime_reclassification` + the `_regime_task` asyncio.create_task. Removes ~55 lines.",weekend-only,fix-now,FIX-03-main-py,,
P1-A1-L01,P1-A1,LOW,[main.py:1161-1176](argus/main.py#L1161-L1176),"**Closure-captured CandleEvent subscribers unreachable for unsubscribe.** `_breadth_on_candle` and `_intraday_on_candle` are async wrappers defined locally inside `start()`, subscribed to the event bus, but never retained on `self`. `shutdown()` has no path to unsubscribe them. Academic since we shut down the whole process, but pattern-wise blocks clean event-bus teardown.","Event bus holds dangling closures. Complicates any future ""restart-in-place"" feature.","Store the wrapper refs on `self` (e.g. `self._breadth_candle_handler`), so `shutdown()` can unsubscribe.",weekend-only,fix-now,FIX-03-main-py,,bundle with same-file MEDIUM/CRITICAL fixes
P1-A1-L02,P1-A1,LOW,[main.py:1142-1176](argus/main.py#L1142-L1176),"**Phase 10.25, 10.3, 10.5, 10.7 have no `logger.info(""[X.Y/12] ..."")` entry log.** Phase 1-12 and 7.5, 8.5, 9.5 all log a single-line phase-entry marker; 10.25 / 10.3 / 10.5 (Event Routing) / 10.7 log nothing phase-level. Only per-component init logs fire.",Operators reading startup logs can't tell which phase a failure occurred in when one of these sub-phases errors.,"Add one-line `logger.info(""[10.25/12] Initializing quality pipeline..."")` etc. for consistency.",safe-during-trading,fix-now,FIX-03-main-py,,
P1-A1-L03,P1-A1,LOW,"[main.py:161](argus/main.py#L161), [main.py:163](argus/main.py#L163)","**Bare generics** — `self._cached_watchlist: list = []` and `self._strategies: dict = {}`. Project rule ([.claude/rules/code-style.md:177](.claude/rules/code-style.md)): ""Use parameterized generics: `dict[str, Any]`, `list[str]`, not bare `dict`, `list`"".",Pylance warning surface; inconsistent with rest of file which parameterizes.,"Change to `self._cached_watchlist: list[Any] = []` and `self._strategies: dict[str, BaseStrategy] = {}`.",safe-during-trading,fix-now,FIX-03-main-py,,
P1-A1-L04,P1-A1,LOW,[main.py:160](argus/main.py#L160),**`self._config: object \,None`** — opaque. `ArgusConfig` is defined in [core/config.py:680](argus/core/config.py#L680); field could be typed precisely. Same rule violation as L3.,Type checker cannot verify `self._config.orchestrator.signal_cutoff_enabled` etc. Every access is `getattr`-defensive despite the config being guaranteed present after Phase 1.,Add `from argus.core.config import ArgusConfig` (or under `TYPE_CHECKING`) and type as `ArgusConfig \,fix-now,FIX-03-main-py,,
P1-A1-L05,P1-A1,LOW,"[main.py:181](argus/main.py#L181), [main.py:1689](argus/main.py#L1689)","**`_cutoff_logged` never reset across trading days.** The one-shot flag is set `True` on first post-cutoff signal but never cleared at session rollover. A multi-day run (e.g. over a weekend with the system left up) would never re-log ""cutoff active"" on Monday.","Cosmetic — affects only the informational log, not the cutoff behaviour (which still runs every tick). Multi-day process runs are not the norm.",Reset to `False` at daily rollover (tie to `orchestrator.run_pre_market` or a daily task).,weekend-only,fix-now,FIX-03-main-py,,bundle with same-file MEDIUM/CRITICAL fixes
P1-A1-L06,P1-A1,LOW,[main.py:1473](argus/main.py#L1473) vs [main.py:1489](argus/main.py#L1489),**Asymmetric sleep placement in background loops.** `_evaluation_health_check_loop` sleeps at end of iteration (fires immediately at boot); `_run_regime_reclassification` sleeps first (skips boot tick). Both document identical cadence patterns but behave differently.,"Minor surprise for operators expecting uniform ""every N seconds"" cadence. Not wrong, just unexpected.",Pick one convention and apply uniformly. Sleep-first avoids a boot-time burst of checks before dependencies are fully warm.,weekend-only,fix-now,FIX-03-main-py,,bundle with same-file MEDIUM/CRITICAL fixes
P1-A1-L07,P1-A1,LOW,[main.py:1142](argus/main.py#L1142),"**""Phase 10.5 Event Routing"" phase number conflicts with `architecture.md`'s ""Phase 10.5 Set viable universe on DataService"".** Same ordinal used for two different responsibilities.",Confusion when reading either doc in isolation.,Pick fresh numbering (e.g. 10.4 Event Routing) and update architecture.md in one pass. Part of M1.,weekend-only,fix-now,FIX-03-main-py,,bundle with same-file MEDIUM/CRITICAL fixes
P1-A1-L08,P1-A1,LOW,[main.py:221](argus/main.py#L221),**Inline reference to `RSK-NEW-5`** — an ID not found anywhere else in the repo (risk register uses `A-XXX`/`R-XXX` per [.claude/rules/doc-updates.md](.claude/rules/doc-updates.md)).,Dangling ID. Either stale or never registered.,"Either register in `docs/risk-register.md` with a proper RSK- or R- ID, or remove the comment.",safe-during-trading,fix-now,FIX-03-main-py,,
P1-A2-M01,P1-A2,MEDIUM,[argus/core/risk_manager.py:128-148](argus/core/risk_manager.py#L128-L148) vs [docs/architecture.md:585-608](docs/architecture.md#L585-L608),"**Risk Manager class docstring and public-method surface are stale.** Class docstring claims `""Phase 1 implements account-level checks only""` but the live code runs cross-strategy checks 4.5a (concentration, DEC-249) and 4.5b (duplicate stock, DEC-121). Architecture.md §3.5 documents four public methods on `RiskManager`: `evaluate_signal`, `on_position_update`, `check_circuit_breakers`, `daily_integrity_check`. Actual class exposes only two of these (`evaluate_signal`, `daily_integrity_check`); circuit-breaker and position-update logic became private (`_check_circuit_breaker_after_close`, `_on_position_closed`).",New-contributor or agent sessions reading the docstring / arch doc build an inaccurate mental model of the risk surface. A reviewer might look for `on_position_update` on the public API and not find it.,"Rewrite class docstring to enumerate current levels (defensive guard → circuit breaker → daily loss → weekly loss → max concurrent → concentration → duplicate → cash reserve → buying power → PDT). Update architecture.md §3.5 to match actual public surface, or re-expose the two private methods as public hooks.",safe-during-trading,fix-now,FIX-05-core-orchestrator-risk-regime,,
P1-A2-M02,P1-A2,MEDIUM,[argus/core/risk_manager.py:205-230](argus/core/risk_manager.py#L205-L230),"**Check numbering gap.** The docstring enumerates checks as `1. … 2. … 3. … 4. … 4.5a. … 4.5b. … 5. … 6. … 7.`, and the code adds a **Check 0** (`share_count <= 0` defensive guard, Sprint 24). That makes 10 checks at 8 ordinal slots. The `4.5a`/`4.5b` notation is a Sprint-24 retrofit; adding Check 0 without renumbering compounds the awkwardness.",Cognitive load every time someone has to reason about evaluation order. Non-obvious that Check 0 runs before the circuit breaker.,Renumber checks 0–9 contiguously OR document the intended grouping (defensive / circuit / daily / cross-strategy / cash / buying-power / PDT) and drop the decimal IDs. Keep docstring and inline comments aligned.,safe-during-trading,fix-now,FIX-05-core-orchestrator-risk-regime,,
P1-A2-M03,P1-A2,MEDIUM,[docs/architecture.md:95-150](docs/architecture.md#L95-L150) vs [argus/core/events.py:1-537](argus/core/events.py#L1-L537),"**Event-type inventory drift.** Architecture.md §3.1 lists events that do not exist (`LearningInsightEvent` at line 149) and omits events that do: `ShutdownRequestedEvent` ([events.py:357](argus/core/events.py#L357)), `DataStaleEvent`/`DataResumedEvent` ([events.py:374-396](argus/core/events.py#L374-L396)), `AccountUpdateEvent` ([events.py:405](argus/core/events.py#L405)), `SessionEndEvent` ([events.py:504](argus/core/events.py#L504)). Additionally, `UniverseUpdateEvent` is documented as `(viable_count, routing_table_size, cache_age_minutes, per_strategy_counts)` but actual dataclass has two fields: `viable_count, total_fetched` ([events.py:483-495](argus/core/events.py#L483-L495)).",Canonical event catalog is silently wrong. Any developer consulting §3.1 to pick subscribers or publish events gets misinformation. A `LearningInsightEvent` referenced in DEC planning (if any) is uncallable.,Regenerate the §3.1 event table from `grep @dataclass.*frozen events.py`. Delete `LearningInsightEvent` reference. Correct `UniverseUpdateEvent` field list.,safe-during-trading,fix-now,FIX-05-core-orchestrator-risk-regime,,
P1-A2-M04,P1-A2,MEDIUM,[argus/core/orchestrator.py:276-325](argus/core/orchestrator.py#L276-L325) vs [argus/core/orchestrator.py:717-759](argus/core/orchestrator.py#L717-L759),"**Regime classification logic duplicated between `run_pre_market()` and `reclassify_regime()`.** Both paths (a) fetch SPY bars, (b) run V1 `compute_indicators()` + `classify()`, (c) update `_current_indicators` / `_current_regime` / `_last_regime_check` / `_spy_unavailable_count`, (d) compute V2 vector and fire-and-forget `_regime_history.record()`, (e) publish `RegimeChangeEvent` if regime changed. Same ~25-line block open-coded twice.","Any change to regime bookkeeping (new counter, new event field, new side effect) must be applied in two places. DEF-074 already tracks a related ""dual poll"" concern; this is the underlying code-level duplication.","Extract `_compute_and_apply_regime(spy_bars)` helper; have both `run_pre_market` and `reclassify_regime` call it. `run_pre_market` then owns only the pre-market-specific steps (strategy reconstruction, allocation, activation).",weekend-only,fix-now,FIX-05-core-orchestrator-risk-regime,,
P1-A2-M05,P1-A2,MEDIUM,[argus/core/__init__.py:3-21](argus/core/__init__.py#L3-L21),"**Partial re-export surface.** Only 7 symbols exported — `AfternoonMomentumConfig`, `BrokerSource`, `DataSource`, `IBKRConfig`, `VwapReclaimConfig` + 2 loaders. Missing every strategy config from Sprint 26 onward (Red-to-Green, Bull Flag, Flat-Top, Dip-and-Rip, HOD Break, Gap-and-Go, ABCD, PMH, Micro Pullback, VWAP Bounce, Narrow Range) and every non-broker infra config (RiskConfig, HealthConfig, OrchestratorConfig, ExitManagementConfig, etc.).",Inconsistent: looks like a curated public surface but the curation stopped. Downstream code uses fully-qualified `argus.core.config.XxxConfig` imports to work around it.,Either (a) delete the re-export (let callers use fully-qualified paths — easier to keep accurate) or (b) re-export all `*Config` + loaders uniformly. Option (a) is lower-maintenance.,safe-during-trading,fix-now,FIX-05-core-orchestrator-risk-regime,,
P1-A2-M06,P1-A2,MEDIUM,"[argus/core/config.py:1260](argus/core/config.py#L1260), [argus/core/config.py:1598](argus/core/config.py#L1598), [argus/core/config.py:1636](argus/core/config.py#L1636), [argus/core/config.py:1669-1720](argus/core/config.py#L1669-L1720)","**Sprint-31A strategy configs appended after the loader section divider.** The file's layout is: (1) enums, (2) infra configs, (3) strategy configs, (4) loader functions. Sprint 31A's `MicroPullbackConfig` is placed at line 1260 (inside section 3, correct), but `VwapBounceConfig` (1598) and `NarrowRangeBreakoutConfig` (1636) are placed **after** the section divider ([config.py:1296-1298](argus/core/config.py#L1296-L1298)) intermingled with loaders. The corresponding `load_micro_pullback_config` / `load_vwap_bounce_config` / `load_narrow_range_breakout_config` are dumped at the end of the file (1669, 1686, 1703) instead of following the existing loader order.","1,751-line file is already past the refactor threshold; organizational drift compounds it. Future adds either perpetuate the disorder or trigger a large reflow.","Group all strategy configs in the strategy-config block; group all loaders in the loader block. Optionally collapse the 15 mechanical `load_<strategy>_config` functions into a single `load_strategy_config(path, model_cls)` helper driven by a `{strategy_name: config_cls}` registry — ~250 lines become ~20.",safe-during-trading,fix-now,FIX-05-core-orchestrator-risk-regime,,
P1-A2-M07,P1-A2,MEDIUM,[argus/core/regime.py:91-194](argus/core/regime.py#L91-L194) + consumers,"**7 `RegimeVector` fields are computed + persisted but never consumed by trading logic.** `opening_drive_strength`, `first_30min_range_ratio`, `vwap_slope`, `direction_change_count`, `leading_sectors`, `lagging_sectors`, `breadth_thrust` are populated by calculators, included in `to_dict()` for serialization, and stored in `regime_history.db`. Grep shows zero references outside `core/regime*.py`, `core/intraday_character.py`, `core/sector_rotation.py`, and their tests. No strategy YAML populates corresponding `operating_conditions` (defaults are match-any/None).","The V2 framework pays to compute these every cycle (intraday task + historical persistence), but no decision depends on them. When the planned consumers (Research Console, strategy regime-sensitivity filters) arrive they may find the field semantics are wrong because nothing has been exercising them.","Document explicitly that these fields are ""pre-provisioned for future decision consumers."" Prefer either (a) a Deferred Items entry noting the planned consumer + sprint, or (b) make computation lazy / gated on `regime_intelligence.persist_history` so non-persisting deployments don't pay the cost.",read-only-no-fix-needed,fix-now,FIX-05-core-orchestrator-risk-regime,,
P1-A2-M08,P1-A2,MEDIUM,[argus/core/regime_history.py:28-47](argus/core/regime_history.py#L28-L47) vs [docs/architecture.md:746](docs/architecture.md#L746),"**SQLite table name drift.** Code creates `CREATE TABLE IF NOT EXISTS regime_snapshots` but architecture.md §3.6.1 claims the schema is `""regime_history table with id, computed_at, vector_json, primary_regime, regime_confidence, vix_close REAL (nullable)""`. Additionally, the documented columns don't match actual schema (`id, timestamp, trading_date, primary_regime, regime_confidence, trend_score, trend_conviction, volatility_level, volatility_direction, universe_breadth_score, breadth_thrust, avg_correlation, correlation_regime, sector_rotation_phase, intraday_character, regime_vector_json, vix_close` — 17 columns vs ~6 documented).","Operators running ad-hoc SQL against `regime_history.db` using the documented table/column names will get ""no such table"" / ""no such column"" errors.",Update architecture.md §3.6.1 schema block to match current `regime_snapshots` DDL. Include the computed field list and `vix_close` migration note.,safe-during-trading,fix-now,FIX-05-core-orchestrator-risk-regime,,
P1-A2-M09,P1-A2,MEDIUM,"[argus/accounting/__init__.py](argus/accounting/__init__.py), [argus/notifications/__init__.py](argus/notifications/__init__.py)",**PF-01 + PF-02 confirmed dead.** Both packages contain only a 1-line `__init__.py`. Grep `argus\.(accounting\,notifications)` across `argus/` and `tests/` returns zero hits (only match is in the earlier P1-A1 audit report). Notification behaviour now lives in `HealthMonitor.send_*_alert()` ([core/health.py:506-522](argus/core/health.py#L506-L522)); accounting was never populated.,Scaffolding from Sprint 1 pre-planning that never landed. Visual clutter in the package tree; a new contributor naturally looks there first for accounting / alerts and finds nothing.,`rm -rf argus/accounting argus/notifications`. Confirm no imports via `grep -r 'from argus.accounting\,fix-now,FIX-05-core-orchestrator-risk-regime,,
P1-A2-M10,P1-A2,MEDIUM,[argus/core/regime.py:682-707](argus/core/regime.py#L682-L707),"**`RegimeClassifierV2` reaches into `VIXDataService` private attributes.** `vix_config: VixRegimeConfig = vix_data_service._config` — private attribute access to extract boundary configs, then passes the inner fields (`vol_regime_boundaries`, `momentum_window`, `momentum_threshold`, `term_structure_boundaries`, `vrp_boundaries`) to four calculators. DEF-091 tracks this but is LOW-priority; flagging here because V2 wiring is now on the hot path (every `reclassify_regime()` call touches this classifier).",Breakage surface: any rename of `_config` on `VIXDataService` silently breaks V2 classification without a type error. Private-access style violates the encapsulation rule in [architecture.md §3.2](docs/architecture.md#L192-L194).,"Expose a public accessor or named properties on `VIXDataService` (`vix_boundaries`, `momentum_settings`, etc.) and pass those. Prefer constructor-injection of the 4 calculators from the wiring site (main.py) rather than internal instantiation inside `RegimeClassifierV2.__init__`.",weekend-only,fix-now,FIX-05-core-orchestrator-risk-regime,,
P1-A2-L01,P1-A2,LOW,[argus/core/regime.py:343-376](argus/core/regime.py#L343-L376),"**4 unused Protocol classes** — `BreadthCalculator`, `CorrelationCalculator`, `SectorRotationCalculator`, `IntradayCalculator`. All four declare `compute(self, indicators: RegimeIndicators) -> …` signatures that do **not** match the actual concrete implementations (e.g. concrete `BreadthCalculator` in `core/breadth.py` takes `on_candle(event: CandleEvent)` not `compute(indicators)`). RegimeClassifierV2 switched to concrete types (Sprint 27.6 S6) leaving the Protocols orphaned. DEF-092 tracks this.",Protocol definitions mislead anyone trying to implement a new calculator. Type checker cannot use them to enforce a contract because none of the concrete classes satisfy them.,"Delete all four Protocol classes from `regime.py`. If cross-module type narrowing is still desired, define Protocols that match the **actual** duck-typed interfaces (`on_candle` + `get_breadth_snapshot` etc.) next to the calculators.",safe-during-trading,fix-now,FIX-05-core-orchestrator-risk-regime,,
P1-A2-L02,P1-A2,LOW,[argus/core/event_bus.py:87-116](argus/core/event_bus.py#L87-L116) vs [docs/architecture.md:91](docs/architecture.md#L91),"**""FIFO delivery per subscriber"" guarantee is weaker than advertised.** `publish()` assigns a monotonic sequence under a lock, then `asyncio.create_task(...)` per handler. Two rapid publishes schedule their handler tasks FIFO on the loop, but with `await` points inside handlers the execution order can interleave (task A pauses, task B runs, task A resumes). The claim is accurate for ""enqueue order"" but not for ""handler-observed order of events.""",Subtle risk if any handler's logic depends on seeing event N fully processed before event N+1 arrives. Current handlers appear to tolerate interleaving but the invariant is unwritten.,"Either (a) tighten the code: per-subscriber asyncio.Queue with a single-consumer task (true FIFO), or (b) loosen the docs: document that sequence-number order is preserved but handler-level serialization is the handler's responsibility. Option (b) is lower-risk.",weekend-only,fix-now,FIX-05-core-orchestrator-risk-regime,,bundle with same-file MEDIUM/CRITICAL fixes
P1-A2-L03,P1-A2,LOW,[argus/core/event_bus.py:154-161](argus/core/event_bus.py#L154-L161),"**`EventBus.reset()` clears `_pending` without cancelling tasks.** `self._pending.clear()` discards the tracking set but leaves in-flight handler tasks running in the background. Comment says ""Intended for testing only"" but if a test runs publish → reset → assertions, orphan tasks can fire after the test has torn down fixtures.",Flaky tests in isolation. Low blast radius because most tests `await bus.drain()` before reset.,Either cancel pending tasks before clear (`for t in self._pending: t.cancel()`) or raise `RuntimeError` if `_pending` is non-empty at reset time.,safe-during-trading,fix-now,FIX-05-core-orchestrator-risk-regime,,
P1-A2-L04,P1-A2,LOW,[argus/core/sync_event_bus.py:41-55](argus/core/sync_event_bus.py#L41-L55),**`SyncEventBus` silently omits subscribe/unsubscribe debug logs present in `EventBus`.** `EventBus.subscribe` logs `Subscribed %s to %s`; `SyncEventBus.subscribe` does not. Similarly for `unsubscribe`. Both otherwise share the public surface.,"When debugging a backtest, subscription lifecycle is invisible. Mild inconsistency.",Mirror the debug log lines verbatim. Or extract a shared `_BusBase` and remove the duplication entirely.,safe-during-trading,fix-now,FIX-05-core-orchestrator-risk-regime,,
P1-A2-L05,P1-A2,LOW,[argus/core/clock.py:107-113](argus/core/clock.py#L107-L113),"**`FixedClock.today()` ignores timezone.** Returns `self._time.date()` directly; `SystemClock.today()` correctly does `datetime.now(self._timezone).date()`. Architecture.md §3.3b documents `today() → date: In configured timezone`. For a `FixedClock(datetime(2026, 4, 21, 3, 0, UTC))`, production would return 2026-04-20 (ET date at 11 PM prior day) while the test helper returns 2026-04-21.","Tests may pass while production diverges on date-boundary edges. Test-only utility, but the semantic drift hides the real behaviour.","Add optional `timezone` kwarg to `FixedClock.__init__`, default to `America/New_York`, have `today()` call `self._time.astimezone(self._timezone).date()`.",safe-during-trading,fix-now,FIX-05-core-orchestrator-risk-regime,,
P1-A2-L06,P1-A2,LOW,[argus/core/event_bus.py:56-67](argus/core/event_bus.py#L56-L67),"**`subscribe()` type parameter `T` is unused.** `subscribe(event_type: type[T], handler: EventHandler)` — `T` isn't referenced in the handler signature (which takes `Any`). The TypeVar achieves nothing; type checkers cannot verify the handler's parameter matches the event type.","Missed type-safety opportunity. Not a defect, but when DEC documentation claims ""type-only subscription"" (DEC-033), the type side is superficial.","Define `EventHandler[T] = Callable[[T], Coroutine[Any, Any, None]]` generic alias, then `subscribe(event_type: type[T], handler: EventHandler[T])`. Will surface handler signature mismatches at Pylance time.",weekend-only,fix-now,FIX-05-core-orchestrator-risk-regime,,bundle with same-file MEDIUM/CRITICAL fixes
